Enter QFE SDK License Key: 
QFE SDK Version: 1.1.5

Activating license and initializing SDK...
License activated and SDK initialized!

Maximum instances allowed by license: 100

Select processing mode:
  1. CPU (default)
  2. GPU (requires CUDA)
Enter choice [1/2]: CPU mode selected

Number of SDK instances to create:
  - More instances = higher parallel processing capacity
  - Each instance uses additional memory
Enter number of instances [1-100] (default: 1): Using 1 instance(s)

Enter model path (default: ./model): Using model path: C:\Users\sypark5\TestAgent\qfe-api-server-no-license\model

Enter database path (default: ./face_database.db): Using database: C:\Users\sypark5\TestAgent\qfe-api-server-no-license\face_database.db

Loading models from: C:\Users\sypark5\TestAgent\qfe-api-server-no-license\model
Database loaded: C:\Users\sypark5\TestAgent\qfe-api-server-no-license\face_database.db
CFG load: system_parameter.cfg
QFE SDK initialized successfully!
2026/04/22 10:26:55 WARNING: CORS is set to allow all origins (*). Set QFE_CORS_ORIGINS for production.
2026/04/22 10:26:55 Starting QFE API server on 0.0.0.0:8080
[GIN] 2026/04/22 - 10:27:17 | 200 |       481.2µs |       127.0.0.1 | GET      "/health"
[GIN] 2026/04/22 - 10:27:18 | 200 |    146.0463ms |       127.0.0.1 | POST     "/api/v2/enroll"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | GET      "/health"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/enroll"
[GIN] 2026/04/22 - 10:27:18 | 200 |       621.3µs |       127.0.0.1 | POST     "/api/v2/enroll"
[GIN] 2026/04/22 - 10:27:18 | 200 |     22.6413ms |       127.0.0.1 | POST     "/api/v2/enroll"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/enroll"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/enroll"
[GIN] 2026/04/22 - 10:27:18 | 200 |      8.5546ms |       127.0.0.1 | POST     "/api/v2/enroll-template"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/enroll-template"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/enroll-template"
[GIN] 2026/04/22 - 10:27:18 | 200 |       447.7µs |       127.0.0.1 | POST     "/api/v2/enroll-template"
[GIN] 2026/04/22 - 10:27:18 | 200 |       594.7µs |       127.0.0.1 | POST     "/api/v2/enroll-template"
[GIN] 2026/04/22 - 10:27:18 | 200 |       685.8µs |       127.0.0.1 | GET      "/health"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/enroll-template"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | GET      "/health"
[GIN] 2026/04/22 - 10:27:18 | 200 |      6.4862ms |       127.0.0.1 | POST     "/api/v2/enroll-template"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/enroll-template"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/enroll-template"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/enroll-template"
[GIN] 2026/04/22 - 10:27:18 | 200 |      1.0075ms |       127.0.0.1 | POST     "/api/v2/enroll-template"
[GIN] 2026/04/22 - 10:27:18 | 200 |     25.6461ms |       127.0.0.1 | POST     "/api/v2/extract"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/extract"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/extract"
[GIN] 2026/04/22 - 10:27:18 | 200 |     20.0766ms |       127.0.0.1 | POST     "/api/v2/extract"
[GIN] 2026/04/22 - 10:27:18 | 200 |     20.3733ms |       127.0.0.1 | POST     "/api/v2/fam"
[GIN] 2026/04/22 - 10:27:18 | 200 |       300.2µs |       127.0.0.1 | POST     "/api/v2/fam"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/fam"
[GIN] 2026/04/22 - 10:27:18 | 200 |    169.2259ms |       127.0.0.1 | POST     "/api/v2/fam"
[GIN] 2026/04/22 - 10:27:18 | 200 |     26.3869ms |       127.0.0.1 | POST     "/api/v2/hpe"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/hpe"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/hpe"
[GIN] 2026/04/22 - 10:27:18 | 200 |     22.7583ms |       127.0.0.1 | POST     "/api/v2/hpe"
[GIN] 2026/04/22 - 10:27:18 | 200 |     25.8887ms |       127.0.0.1 | POST     "/api/v2/identify"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/identify"
[GIN] 2026/04/22 - 10:27:18 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/identify"
[GIN] 2026/04/22 - 10:27:18 | 200 |     23.0144ms |       127.0.0.1 | POST     "/api/v2/identify"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/identify-template"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/identify-template"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/identify-template"
[GIN] 2026/04/22 - 10:27:19 | 200 |    175.5063ms |       127.0.0.1 | POST     "/api/v2/mask"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/mask"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/mask"
[GIN] 2026/04/22 - 10:27:19 | 200 |     25.0257ms |       127.0.0.1 | POST     "/api/v2/mask"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/match"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/match"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | GET      "/health"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/match"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/match"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | GET      "/health"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/match"
[GIN] 2026/04/22 - 10:27:19 | 200 |     23.2375ms |       127.0.0.1 | POST     "/api/v2/match-images"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | GET      "/health"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/match-images"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/match-images"
[GIN] 2026/04/22 - 10:27:19 | 200 |     22.3022ms |       127.0.0.1 | POST     "/api/v2/match-images"
[GIN] 2026/04/22 - 10:27:19 | 200 |     22.8696ms |       127.0.0.1 | POST     "/api/v2/match-images"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/match-images"
[GIN] 2026/04/22 - 10:27:19 | 200 |     20.9483ms |       127.0.0.1 | POST     "/api/v2/match-images"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/matching-threshold"
[GIN] 2026/04/22 - 10:27:19 | 200 |            0s |       127.0.0.1 | GET      "/health"
